ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Z_CostContact,Z_Revenue,Age,Children,HouseholdSize,CustomerTenure,TotalSpend,TotalPurchases,DealsPurchases,WebVisitIntensity,WebShare,CatalogShare,StoreShare,CampaignAcceptance,cluster,pc1,pc2,segment
10015,1991,Graduation,Widow,61284.0,0,0,2013-07-12,13,384,60,189,57,14,61,2,5,3,7,4,0,0,1,0,1,0,0,3,11,24,0,1,538.0,765.0,15,2,4,0.3333333333333333,0.2,0.4666666666666667,2,0,-1.1857392319599265,0.07564346966942206,High-Value Loyalists
10016,1965,Basic,Divorced,34687.0,1,1,2013-06-15,43,55,31,78,16,114,35,8,3,1,6,5,0,0,0,0,0,0,0,3,11,50,2,3,565.0,329.0,10,8,5,0.3,0.1,0.6,0,1,2.124374765277262,0.912530570743153,Digital Enthusiasts
10017,1975,Graduation,Single,98233.0,0,0,2012-08-08,16,365,244,584,558,115,48,1,6,4,18,3,0,1,1,0,0,0,0,3,11,40,0,1,876.0,1914.0,28,1,3,0.21428571428571427,0.14285714285714285,0.6428571428571429,2,0,-2.388542899059937,0.970229114498175,High-Value Loyalists
10018,1942,PhD,Single,58757.0,0,0,2013-02-02,35,491,56,363,10,74,62,5,11,1,6,6,1,1,0,1,1,1,0,3,11,73,0,1,698.0,1056.0,18,5,6,0.6111111111111112,0.05555555555555555,0.3333333333333333,5,0,-0.9440635566518553,-0.45762715455662695,High-Value Loyalists
10019,1957,Graduation,Widow,34839.0,1,1,2014-05-03,25,62,24,62,63,14,55,2,2,2,4,8,0,0,0,0,0,0,0,3,11,58,2,3,243.0,280.0,8,2,8,0.25,0.25,0.5,0,1,1.5662191225963806,0.3835480546369725,Digital Enthusiasts
10020,1973,Graduation,Single,44508.0,0,2,2014-01-02,45,121,7,60,4,6,11,4,1,1,2,4,0,0,0,0,0,0,0,3,11,42,2,3,364.0,209.0,4,4,4,0.25,0.25,0.5,0,1,1.7318031183459903,0.33670203189742565,Digital Enthusiasts
10021,1974,Master,Widow,79068.0,1,0,2013-01-03,62,653,87,128,100,2,77,2,5,3,12,3,0,0,0,0,0,0,0,3,11,41,1,2,728.0,1047.0,20,2,3,0.25,0.15,0.6,0,0,-0.3174684874883294,0.819610951820342,High-Value Loyalists
10022,1963,Graduation,Widow,67328.0,0,0,2013-05-05,37,236,31,24,1,44,34,1,3,1,4,4,0,0,0,0,0,0,0,3,11,52,0,1,606.0,370.0,8,1,4,0.375,0.125,0.5,0,0,-0.873157140604269,0.5401787171614144,High-Value Loyalists
10023,1949,Graduation,Divorced,74211.0,1,0,2013-09-26,47,144,89,92,208,100,91,1,4,5,3,5,0,0,0,0,0,0,0,3,11,66,1,2,462.0,724.0,12,1,5,0.3333333333333333,0.4166666666666667,0.25,0,0,-0.14266516255410544,-0.8408627986025057,High-Value Loyalists
10024,1975,Graduation,Widow,31954.0,0,1,2013-10-05,89,95,18,111,44,57,25,6,3,2,4,9,0,1,0,1,0,0,0,3,11,40,1,2,453.0,350.0,9,6,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,2,1,1.4546419303366729,0.15258265630081386,Digital Enthusiasts
10025,1975,Graduation,Divorced,90251.0,0,0,2012-05-13,12,1504,593,1487,384,659,229,1,16,18,40,0,0,0,1,1,0,1,0,3,11,40,0,1,963.0,3733.2199999999975,58,1,0,0.21621621621621623,0.24324324324324326,0.5405405405405406,3,0,-3.788759693720383,0.19167657042827305,High-Value Loyalists
10026,1980,2n Cycle,Single,65147.0,1,0,2012-09-09,99,279,18,294,89,108,120,4,4,4,6,8,0,0,0,1,1,1,0,3,11,35,1,2,844.0,908.0,14,4,8,0.2857142857142857,0.2857142857142857,0.42857142857142855,3,1,0.5880797209690007,-0.11074169026908218,Digital Enthusiasts
10027,1970,Master,Together,88252.0,0,0,2013-03-01,47,601,173,617,5,152,168,0,9,3,15,3,0,0,0,0,0,1,0,3,11,45,0,2,671.0,1716.0,27,0,3,0.3333333333333333,0.1111111111111111,0.5555555555555556,1,0,-1.567212201622282,0.49268708205243683,High-Value Loyalists
10028,1969,Graduation,Married,79040.0,0,0,2014-03-23,29,387,198,521,169,215,36,0,7,2,18,4,0,0,0,0,0,1,0,3,11,46,0,2,284.0,1526.0,27,0,4,0.25925925925925924,0.07407407407407407,0.6666666666666666,1,0,-1.48281719459033,1.1434863846911067,High-Value Loyalists
10029,1964,Graduation,Married,57656.0,1,1,2012-04-03,52,64,25,176,28,2,9,6,3,1,2,3,1,0,0,0,0,0,0,3,11,51,2,4,1003.0,304.0,6,6,3,0.5,0.16666666666666666,0.3333333333333333,1,1,2.1919638970955404,-0.755371913501852,Digital Enthusiasts
10030,1978,PhD,Widow,38711.0,0,1,2013-10-12,87,101,14,141,35,22,10,5,1,1,2,8,0,0,1,0,0,0,0,3,11,37,1,2,446.0,323.0,4,5,8,0.25,0.25,0.5,1,1,1.3729559159370144,0.4914628739374398,Digital Enthusiasts
10031,1940,Graduation,Widow,44593.0,1,0,2012-12-31,36,267,28,142,47,11,112,4,3,2,3,6,0,0,0,0,0,0,0,3,11,75,1,2,731.0,607.0,8,4,6,0.375,0.25,0.375,0,1,0.5809428382681413,-0.061959647299136,Digital Enthusiasts
10032,1988,Graduation,Single,57656.0,1,1,2012-12-28,28,616,116,498,100,42,366,2,16,4,7,6,0,1,0,0,0,0,0,3,11,27,2,3,734.0,1738.0,27,2,6,0.5925925925925926,0.14814814814814814,0.25925925925925924,1,1,0.42569772975412046,-1.5314335288569345,Digital Enthusiasts
10033,1965,Basic,Together,55455.0,0,0,2013-05-19,73,452,117,146,88,64,42,4,5,1,7,8,0,0,0,0,0,0,0,3,11,50,0,2,592.0,909.0,13,4,8,0.38461538461538464,0.07692307692307693,0.5384615384615384,0,1,0.22970038405631224,0.673259717189963,Digital Enthusiasts
10034,1986,Master,Married,52167.0,1,1,2012-06-27,29,562,16,543,196,91,265,2,12,4,10,6,0,1,0,1,1,1,0,3,11,29,2,4,918.0,1673.0,26,2,6,0.46153846153846156,0.15384615384615385,0.38461538461538464,4,1,0.8711007721703415,-0.9509990799064899,Digital Enthusiasts
10035,1967,Graduation,Together,94318.0,0,0,2013-07-23,17,883,146,951,74,49,228,1,13,18,11,3,0,0,0,0,0,0,0,3,11,48,0,2,527.0,2331.0,42,1,3,0.30952380952380953,0.42857142857142855,0.2619047619047619,0,0,-2.228433948048528,-1.1151816625972297,High-Value Loyalists
10036,1970,Graduation,Together,92758.0,0,0,2013-03-19,13,735,311,780,2,2,62,0,2,4,19,2,0,0,0,0,0,0,0,3,11,45,0,2,653.0,1892.0,25,0,2,0.08,0.16,0.76,0,0,-1.881402122213192,1.6745738894869593,High-Value Loyalists
10037,1980,Master,Widow,72984.0,0,0,2012-12-21,0,496,21,239,55,32,177,2,5,4,8,5,1,1,0,0,0,0,0,3,11,35,0,1,741.0,1020.0,17,2,5,0.29411764705882354,0.23529411764705882,0.47058823529411764,2,0,-1.484889741569377,0.1200412929169147,High-Value Loyalists
10038,1971,PhD,Divorced,100641.0,0,0,2012-05-11,60,857,126,1165,584,27,133,3,25,2,24,6,0,0,0,0,0,0,0,3,11,44,0,1,965.0,2892.0,51,3,6,0.49019607843137253,0.0392156862745098,0.47058823529411764,0,0,-2.4569092894260156,-0.08953386240189887,High-Value Loyalists
10039,1960,Graduation,Married,40167.0,0,1,2012-05-22,57,67,24,42,1,19,52,5,2,1,5,11,0,1,0,0,1,0,0,3,11,55,1,3,954.0,205.0,8,5,11,0.25,0.125,0.625,2,1,1.7040958820189736,1.0608891807371885,Digital Enthusiasts
10040,1968,PhD,Married,57656.0,0,1,2012-07-02,61,336,79,410,390,42,31,4,6,1,14,7,0,0,0,0,0,0,0,3,11,47,1,3,913.0,1288.0,21,4,7,0.2857142857142857,0.047619047619047616,0.6666666666666666,0,1,0.7149982072354865,1.1183115302016484,Digital Enthusiasts
10041,1957,2n Cycle,Divorced,41919.0,1,0,2013-08-16,48,126,90,84,49,39,79,3,3,3,4,3,0,0,0,0,0,0,0,3,11,58,1,2,503.0,467.0,10,3,3,0.3,0.3,0.4,0,1,0.4372516709512867,0.017130674390504155,Digital Enthusiasts
10042,1970,Graduation,Married,29377.0,1,1,2012-12-18,48,218,86,147,16,0,84,3,3,2,9,8,0,0,1,0,1,0,0,3,11,45,2,4,744.0,551.0,14,3,8,0.21428571428571427,0.14285714285714285,0.6428571428571429,2,1,2.0897513491506916,0.8946448220600357,Digital Enthusiasts
10043,1984,Master,Divorced,89206.0,0,0,2012-01-11,23,265,247,273,561,82,183,0,7,10,15,6,1,0,0,1,0,1,0,3,11,31,0,1,1086.0,1611.0,32,0,6,0.21875,0.3125,0.46875,3,0,-2.22591623775977,-0.054173413855739844,High-Value Loyalists
10044,1961,2n Cycle,Single,43231.0,0,0,2014-02-25,67,222,41,65,97,2,52,2,3,3,2,5,0,0,0,0,0,0,0,3,11,54,0,1,310.0,479.0,8,2,5,0.375,0.375,0.25,0,0,-0.3380751411966366,-0.6518455120016103,High-Value Loyalists
10045,1963,PhD,Married,42201.0,0,0,2013-12-28,34,255,16,136,64,118,164,5,3,2,7,2,0,0,0,0,0,1,0,3,11,52,0,2,369.0,753.0,12,5,2,0.25,0.16666666666666666,0.5833333333333334,1,0,-0.10578168114609846,1.0060932361538348,High-Value Loyalists
10046,1981,Basic,Divorced,64494.0,0,0,2013-09-22,46,815,1,405,12,12,23,1,5,2,10,4,0,1,0,0,0,1,0,3,11,34,0,1,466.0,1268.0,17,1,4,0.29411764705882354,0.11764705882352941,0.5882352941176471,2,0,-1.3345598449132199,0.8012537511742248,High-Value Loyalists
10047,1976,Graduation,Married,63838.0,0,0,2013-08-30,38,416,26,342,97,31,32,0,9,1,7,5,0,0,0,0,0,0,0,3,11,39,0,2,489.0,944.0,17,0,5,0.5294117647058824,0.058823529411764705,0.4117647058823529,0,0,-0.7233084188461795,-0.26545533037077196,High-Value Loyalists
10048,1987,Master,Together,31724.0,0,1,2013-08-11,35,121,46,65,16,31,95,1,1,1,2,6,0,0,0,0,1,0,0,3,11,28,1,3,508.0,374.0,4,1,6,0.25,0.25,0.5,1,1,1.0772376578089404,0.2208747851085688,Digital Enthusiasts
10049,1967,Graduation,Together,84675.0,0,0,2013-11-27,18,716,361,497,63,109,457,3,19,3,12,2,0,0,1,0,0,0,0,3,11,48,0,2,400.0,2203.0,34,3,2,0.5588235294117647,0.08823529411764706,0.35294117647058826,1,0,-1.7452176998866074,-0.6928896525963633,High-Value Loyalists
10050,1954,Graduation,Widow,115087.0,0,0,2014-04-13,28,641,316,259,174,33,639,1,10,5,14,0,1,0,0,0,0,0,0,3,11,61,0,1,263.0,2062.0,29,1,0,0.3448275862068966,0.1724137931034483,0.4827586206896552,1,0,-2.700290459138408,0.2695097368853394,High-Value Loyalists
10051,1958,PhD,Together,76601.0,0,0,2014-05-26,21,858,273,424,55,165,95,1,4,18,12,4,0,0,1,0,0,0,0,3,11,57,0,2,220.0,1870.0,34,1,4,0.11764705882352941,0.5294117647058824,0.35294117647058826,1,0,-1.73886074305712,-0.3848129733506439,High-Value Loyalists
10052,1976,PhD,Together,28756.0,0,1,2012-09-16,99,72,86,104,12,30,25,5,1,2,4,7,0,0,0,0,0,0,0,3,11,39,1,3,837.0,329.0,7,5,7,0.14285714285714285,0.2857142857142857,0.5714285714285714,0,1,1.949338050284735,0.8683810519812162,Digital Enthusiasts
10053,1983,Graduation,Married,45883.0,1,2,2012-10-21,63,96,48,119,4,12,27,6,5,2,2,7,0,0,0,0,0,0,0,3,11,32,3,5,802.0,306.0,9,6,7,0.5555555555555556,0.2222222222222222,0.2222222222222222,0,1,3.551155370381233,-1.6296071140390236,Digital Enthusiasts
10054,1968,Graduation,Widow,41932.0,0,2,2012-05-30,53,101,24,96,41,20,4,3,2,1,1,5,0,0,0,0,1,0,0,3,11,47,2,3,946.0,286.0,4,3,5,0.5,0.25,0.25,1,1,1.707148903532246,-1.1391543472948298,Digital Enthusiasts
10055,1990,Graduation,Widow,33565.0,1,1,2013-04-24,50,56,7,75,23,9,48,5,4,1,2,9,0,0,0,1,0,0,0,3,11,25,2,3,617.0,218.0,7,5,9,0.5714285714285714,0.14285714285714285,0.2857142857142857,1,1,2.213221061459094,-1.118754116394328,Digital Enthusiasts
10056,1969,Basic,Widow,47368.0,1,0,2013-01-07,32,712,34,256,79,465,643,1,18,1,12,3,0,0,1,0,0,0,0,3,11,46,1,2,724.0,2189.0,31,1,3,0.5806451612903226,0.03225806451612903,0.3870967741935484,1,0,-0.9114842845534569,-0.5702136840509574,High-Value Loyalists
10057,1973,Master,Widow,32742.0,1,1,2013-07-23,44,45,15,80,12,4,31,4,2,2,2,4,0,0,0,0,0,0,0,3,11,42,2,3,527.0,187.0,6,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,1.8098796318388157,-0.5810105116699555,Digital Enthusiasts
10058,1952,Graduation,Single,89021.0,0,0,2013-07-11,9,462,28,677,573,264,232,1,3,23,16,4,0,0,0,1,0,1,0,3,11,63,0,1,539.0,2236.0,42,1,4,0.07142857142857142,0.5476190476190477,0.38095238095238093,2,0,-2.788802416442293,-0.21606075335224365,High-Value Loyalists
10059,1980,Graduation,Married,113630.0,0,0,2013-06-11,41,707,214,415,176,29,141,1,9,1,20,3,0,1,0,0,0,0,0,3,11,35,0,2,569.0,1682.0,30,1,3,0.3,0.03333333333333333,0.6666666666666666,1,0,-1.7894752234154,0.9776627921707259,High-Value Loyalists
10060,1964,2n Cycle,Single,30885.0,1,1,2012-01-15,91,152,4,31,42,15,302,4,2,1,8,3,0,0,0,0,0,0,0,3,11,51,2,3,1082.0,546.0,11,4,3,0.18181818181818182,0.09090909090909091,0.7272727272727273,0,1,1.8360776608933993,1.623949065237347,Digital Enthusiasts
10061,1978,Master,Single,63910.0,1,0,2013-07-24,28,344,38,234,60,74,65,0,5,9,11,4,0,0,0,0,1,0,0,3,11,37,1,2,526.0,815.0,25,0,4,0.2,0.36,0.44,1,0,-0.6332326019703735,-0.09754091013876803,High-Value Loyalists
10062,1974,Master,Divorced,43494.0,0,2,2012-05-10,67,106,15,58,12,1,19,7,2,1,1,8,0,0,0,0,0,0,0,3,11,41,2,3,966.0,211.0,4,7,8,0.5,0.25,0.25,0,1,2.4453557377557713,-1.0961426968540415,Digital Enthusiasts
10063,1982,Master,Single,27096.26,1,1,2014-04-27,43,84,23,39,5,25,17,5,3,1,6,7,0,0,0,0,0,0,0,3,11,33,2,3,249.0,193.0,10,5,7,0.3,0.1,0.6,0,1,2.0693176252322636,0.777542937657298,Digital Enthusiasts
10064,1967,Graduation,Married,46728.0,0,2,2012-02-02,60,101,2,51,5,78,80,4,1,1,1,3,0,0,0,0,0,0,0,3,11,48,2,4,1064.0,317.0,3,4,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,2.2253342694093323,-0.6546355903079346,Digital Enthusiasts
10065,1966,Graduation,Together,29997.0,1,1,2013-03-11,29,62,46,33,4,3,17,5,1,2,2,6,0,0,0,0,0,0,0,3,11,49,2,4,661.0,165.0,5,5,6,0.2,0.4,0.4,0,1,2.446108445231209,-0.21543449982868487,Digital Enthusiasts
10066,1957,Graduation,Single,40609.0,0,1,2012-12-21,39,100,7,70,20,22,14,2,1,1,1,4,0,0,0,1,0,1,0,3,11,58,1,2,741.0,233.0,3,2,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,1,0.482700330581096,-0.4000014389975233,Digital Enthusiasts
10067,1969,Graduation,Widow,68287.0,1,0,2014-02-14,18,88,54,144,13,85,123,3,2,3,7,4,0,0,0,0,0,0,0,3,11,46,1,2,321.0,507.0,12,3,4,0.16666666666666666,0.25,0.5833333333333334,0,0,-0.009492033554221308,0.8718953384480594,High-Value Loyalists
10068,1971,Master,Divorced,111802.0,0,0,2012-01-09,24,538,70,503,671,48,252,3,13,9,11,2,0,0,1,0,0,0,0,3,11,44,0,1,1086.6599999999999,2082.0,33,3,2,0.3939393939393939,0.2727272727272727,0.3333333333333333,1,0,-2.434485362283304,-0.717524915110999,High-Value Loyalists
10069,1986,Master,Married,72571.0,1,0,2013-07-22,12,329,38,182,181,44,176,4,6,3,7,5,0,1,1,1,0,0,0,3,11,29,1,3,528.0,950.0,16,4,5,0.375,0.1875,0.4375,3,1,0.25907526807970715,-0.35464396196680414,Digital Enthusiasts
10070,1977,2n Cycle,Single,55944.0,0,0,2014-01-11,0,289,116,460,50,73,91,1,5,6,11,3,0,0,0,0,0,0,0,3,11,38,0,1,355.0,1079.0,22,1,3,0.22727272727272727,0.2727272727272727,0.5,0,0,-1.5833626672839056,0.40434863654284847,High-Value Loyalists
10071,1966,Graduation,Widow,55558.0,0,0,2013-12-05,7,951,47,268,67,331,73,0,8,5,14,11,1,0,0,0,0,0,0,3,11,49,0,1,392.0,1737.0,27,0,11,0.2962962962962963,0.18518518518518517,0.5185185185185185,1,0,-1.5769741583551962,0.421791435043102,High-Value Loyalists
10072,1960,Master,Together,53457.0,1,0,2012-09-19,48,140,107,61,13,20,36,3,4,0,6,11,0,0,0,0,0,0,0,3,11,55,1,3,834.0,377.0,10,3,11,0.4,0.0,0.6,0,1,1.3186693089397095,0.8280596243350186,Digital Enthusiasts
10073,1966,Basic,Together,62514.0,0,0,2012-10-22,20,727,49,297,175,19,289,1,11,5,12,13,1,0,1,0,0,1,0,3,11,49,0,2,801.0,1556.0,28,1,13,0.39285714285714285,0.17857142857142858,0.42857142857142855,3,0,-0.8987286477031232,-0.25293816303790284,High-Value Loyalists
10074,1962,Graduation,Married,99021.0,0,0,2012-07-09,15,753,283,130,22,6,261,4,6,9,5,2,0,0,0,1,1,1,0,3,11,53,0,2,906.0,1455.0,20,4,2,0.3,0.45,0.25,3,0,-1.4099248118570828,-1.0543232571645704,High-Value Loyalists
10075,1975,Graduation,Single,76116.0,0,0,2012-10-23,43,1030,96,372,197,394,24,2,9,6,15,4,0,0,0,0,1,0,0,3,11,40,0,1,800.0,2113.0,30,2,4,0.3,0.2,0.5,1,0,-1.8919472817395706,0.2699097154454182,High-Value Loyalists
10076,1980,2n Cycle,Together,73411.0,1,0,2013-01-17,19,535,25,368,254,65,283,5,18,0,7,5,0,0,0,1,1,0,0,3,11,35,1,3,714.0,1530.0,25,5,5,0.72,0.0,0.28,2,1,0.10232449983162713,-1.354156373388318,Digital Enthusiasts
10077,1966,Graduation,Widow,36406.0,0,1,2014-04-21,56,55,18,34,17,58,8,4,4,1,3,11,0,0,0,0,0,0,0,3,11,49,1,2,255.0,190.0,8,4,11,0.5,0.125,0.375,0,1,1.2673763499226889,-0.2463689210652281,Digital Enthusiasts
10078,1972,Master,Together,27096.26,0,1,2014-03-13,99,59,10,84,18,7,20,5,2,3,6,9,0,0,0,0,0,0,0,3,11,43,1,3,294.0,198.0,11,5,9,0.18181818181818182,0.2727272727272727,0.5454545454545454,0,1,2.0238199157224246,0.7591527861812386,Digital Enthusiasts
10079,1974,Graduation,Divorced,34691.0,1,1,2014-01-19,49,162,9,147,17,0,17,2,1,2,5,16,0,0,0,0,0,0,0,3,11,41,2,3,347.0,352.0,8,2,16,0.125,0.25,0.625,0,1,2.1531880407411323,0.9671401106796075,Digital Enthusiasts
10080,1966,Graduation,Divorced,41300.0,0,2,2012-12-29,53,68,41,109,28,4,4,5,2,1,3,5,1,1,0,0,0,0,0,3,11,49,2,3,733.0,254.0,6,5,5,0.3333333333333333,0.16666666666666666,0.5,2,1,1.829004524687235,0.2846277131961211,Digital Enthusiasts
10081,1979,2n Cycle,Divorced,52263.0,0,0,2013-03-31,46,548,61,295,28,5,142,1,2,5,9,3,0,0,0,1,0,0,0,3,11,36,0,1,641.0,1079.0,16,1,3,0.125,0.3125,0.5625,1,0,-1.1746517327916375,0.8231152646107294,High-Value Loyalists
10082,1960,Graduation,Together,58998.0,0,0,2013-03-30,34,433,38,200,92,64,179,4,8,2,10,7,1,0,1,0,0,0,0,3,11,55,0,2,642.0,1006.0,20,4,7,0.4,0.1,0.5,2,0,-0.39395275635887356,0.3557457535273456,High-Value Loyalists
10083,1962,Graduation,Married,107931.0,0,0,2013-02-18,14,445,1,182,281,78,443,2,2,2,19,3,0,1,1,0,0,0,0,3,11,53,0,2,682.0,1430.0,23,2,3,0.08695652173913043,0.08695652173913043,0.8260869565217391,2,0,-1.6711828355028213,2.057084999830828,High-Value Loyalists
10084,1967,Graduation,Married,92313.0,1,0,2012-06-27,25,468,98,373,648,345,35,0,8,3,20,4,1,0,0,0,0,0,0,3,11,48,1,3,918.0,1967.0,31,0,4,0.25806451612903225,0.0967741935483871,0.6451612903225806,1,0,-0.9373960807701397,0.7709932798705549,High-Value Loyalists
10085,1963,Graduation,Single,48767.0,0,0,2012-08-14,32,883,315,811,129,228,365,0,13,9,19,7,0,0,0,0,0,0,0,3,11,52,0,1,870.0,2731.0,41,0,7,0.3170731707317073,0.21951219512195122,0.4634146341463415,0,0,-2.151024385291918,0.08511207283522264,High-Value Loyalists
10086,1975,Graduation,Together,29429.0,0,1,2013-06-06,37,158,18,77,37,5,86,10,4,2,5,7,1,0,0,0,0,0,0,3,11,40,1,3,574.0,381.0,11,10,7,0.36363636363636365,0.18181818181818182,0.45454545454545453,1,1,1.9518721343560148,0.10298522712606675,Digital Enthusiasts
10087,1987,Master,Together,94786.0,1,0,2012-07-05,50,422,25,469,9,16,141,1,8,4,5,8,1,0,1,0,1,0,0,3,11,28,1,3,910.0,1082.0,17,1,8,0.47058823529411764,0.23529411764705882,0.29411764705882354,3,0,0.07113077478174831,-1.2415575418101472,High-Value Loyalists
10088,1953,Graduation,Married,80681.0,0,0,2012-03-09,62,471,132,343,86,288,383,2,4,4,17,2,0,1,0,0,0,0,0,3,11,62,0,2,1028.0,1703.0,25,2,2,0.16,0.16,0.68,1,0,-1.245188833919333,1.4130195218638164,High-Value Loyalists
10089,1959,Graduation,Single,27096.26,0,2,2012-07-22,15,48,18,68,3,5,3,11,2,3,2,7,0,0,0,0,0,0,0,3,11,56,2,3,893.0,145.0,7,11,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0,1,2.5342570891012115,-0.6738575511818677,Digital Enthusiasts
10090,1959,Graduation,Single,115222.0,0,0,2014-03-30,36,565,63,159,167,272,45,1,4,3,7,5,1,0,1,0,0,0,0,3,11,56,0,1,277.0,1271.0,14,1,5,0.2857142857142857,0.21428571428571427,0.5,2,0,-1.841175877334503,0.4264878868945837,High-Value Loyalists
