ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Complain,Z_CostContact,Z_Revenue
10104,1981,Graduation,Single,47970.0,0,2,2014-03-21,33,167,4,72,22,2,12,5,5,2,1,12,0,0,1,0,0,0,0,3,11
10105,1963,Graduation,Widow,45747.0,1,2,2012-10-26,84,140,34,64,25,11,49,3,7,1,1,5,0,0,0,0,0,0,0,3,11
10106,1984,Master,Together,108733.0,1,0,2012-04-19,68,384,121,128,88,43,49,5,5,0,6,4,0,0,1,0,1,0,0,3,11
10107,1978,Graduation,Together,55946.0,0,0,2013-03-28,0,404,90,465,107,116,107,2,7,4,14,2,0,0,1,0,1,0,0,3,11
10108,1976,PhD,Single,81315.0,0,0,2013-08-30,15,388,13,234,14,223,375,1,6,12,6,5,0,0,0,0,0,0,0,3,11
10109,1941,PhD,Divorced,48912.0,0,0,2013-07-25,35,132,19,245,234,142,33,4,7,4,7,5,0,0,0,0,0,0,0,3,11
10110,1968,Graduation,Divorced,58930.0,1,0,2012-08-19,43,1200,231,150,48,30,60,1,13,5,11,5,1,0,1,0,0,1,0,3,11
10111,1967,Master,Widow,75325.0,0,0,2014-06-14,26,714,180,434,213,337,230,0,16,5,15,3,0,1,0,0,0,1,0,3,11
10112,1987,Master,Married,37407.0,0,1,2013-10-27,52,148,1,138,164,43,75,3,6,6,6,3,0,0,0,0,0,0,0,3,11
10113,1959,Graduation,Divorced,34836.0,1,1,2013-06-12,28,81,21,13,45,13,21,4,2,1,2,4,0,0,0,0,0,1,0,3,11
10114,1969,PhD,Married,96900.0,0,0,2013-10-28,35,798,99,888,124,233,213,1,7,11,16,3,0,1,1,0,0,0,0,3,11
10115,1962,Graduation,Widow,47115.0,1,0,2013-11-21,44,101,33,388,26,41,37,4,4,1,2,4,1,0,1,0,1,0,0,3,11
10116,1986,Master,Married,55961.0,1,1,2013-06-01,41,27,9,22,1,5,36,2,6,2,2,11,0,0,0,0,0,0,0,3,11
10117,1977,2n Cycle,Married,38102.0,1,1,2014-04-12,67,103,11,211,19,39,67,2,4,5,6,6,0,0,0,0,0,0,0,3,11
10118,1989,Master,Widow,84149.0,1,1,2012-09-14,32,501,70,486,20,113,22,0,7,2,8,8,0,0,0,0,0,0,0,3,11
10119,1976,Graduation,Together,40040.0,1,1,2012-01-04,55,56,23,52,46,24,5,9,1,1,2,8,0,0,0,0,0,0,0,3,11
10120,1966,Graduation,Together,44830.0,0,1,2013-06-11,87,157,95,98,19,4,36,4,2,1,5,5,0,0,0,0,0,0,0,3,11
10121,1975,Basic,Divorced,40183.0,1,1,2012-08-16,59,88,26,40,9,3,52,5,3,0,7,8,0,0,0,0,0,0,0,3,11
10122,1964,Master,Married,118341.0,0,0,2014-01-11,70,573,23,420,104,140,202,0,11,4,5,2,0,1,0,0,1,0,0,3,11
10123,1983,Graduation,Single,65731.0,0,0,2012-01-03,0,724,154,187,1,151,100,2,3,5,8,4,0,0,0,0,0,0,0,3,11
10124,1966,PhD,Together,99388.0,0,0,2013-12-08,27,2108,267,796,388,118,62,2,33,9,21,1,1,0,0,0,0,0,0,3,11
10125,1962,Graduation,Together,69941.0,0,0,2014-03-24,13,814,173,709,228,45,162,2,23,0,12,7,0,1,0,0,0,0,0,3,11
10126,1980,2n Cycle,Married,61358.0,1,0,2014-04-14,17,324,129,674,48,125,19,1,3,15,6,4,0,0,0,0,1,0,0,3,11
10127,1963,Graduation,Together,97593.0,0,0,2012-12-14,13,400,222,1166,140,84,253,1,18,11,7,2,0,0,0,0,0,0,0,3,11
10128,1979,Graduation,Single,140708.0,0,0,2014-01-05,48,1295,591,410,126,85,59,2,15,5,22,3,0,0,0,0,0,1,0,3,11
10129,1959,Graduation,Divorced,36000.0,0,1,2013-06-06,49,85,6,69,5,1,8,1,0,0,0,16,0,0,0,0,0,0,0,3,11
10130,1970,Graduation,Married,97876.0,0,0,2012-01-21,2,780,26,395,395,356,474,1,13,10,13,0,1,1,1,0,0,0,0,3,11
10131,1945,PhD,Divorced,66873.0,1,0,2013-03-11,66,191,42,87,41,61,48,3,3,4,4,3,0,0,0,0,0,0,0,3,11
10132,1972,Master,Married,47734.0,1,1,2013-10-07,31,120,47,91,1,16,41,6,0,0,0,4,0,0,0,0,0,0,0,3,11
10133,1973,Master,Divorced,65152.0,0,1,2013-11-08,74,356,22,506,59,43,69,4,8,2,8,2,0,1,1,1,0,0,0,3,11
10134,1966,Graduation,Together,23592.0,1,1,2012-12-07,29,187,59,60,12,6,14,8,3,2,2,4,0,1,0,0,1,1,0,3,11
10135,1970,Master,Widow,99798.0,0,0,2012-11-27,21,988,180,128,357,134,201,0,4,17,10,3,0,0,1,0,1,0,0,3,11
10136,1945,Master,Divorced,33360.0,1,1,2013-08-05,94,85,27,29,5,2,44,2,1,2,2,2,0,0,0,0,0,0,0,3,11
10137,1984,PhD,Single,87215.0,1,0,2012-01-11,30,571,12,505,2,39,101,2,7,4,7,4,0,0,0,0,0,0,0,3,11
10138,1965,PhD,Married,39310.0,1,1,2014-02-04,67,80,32,39,85,88,33,6,1,1,1,4,0,0,0,0,0,0,0,3,11
10139,1970,Graduation,Widow,109919.0,0,0,2012-11-19,25,870,344,429,461,136,10,2,13,13,10,6,0,0,0,0,0,1,0,3,11
10140,1975,2n Cycle,Widow,54270.0,0,0,2013-06-09,37,660,54,310,13,47,22,2,6,8,4,7,0,0,0,0,0,0,0,3,11
10141,1981,Graduation,Married,47650.0,0,0,2013-02-27,19,559,11,805,274,204,294,1,7,12,11,6,0,0,0,0,1,0,0,3,11
10142,1953,Master,Single,54784.0,1,1,2012-12-25,61,300,94,171,30,15,87,4,5,3,6,4,1,1,0,0,0,0,0,3,11
10143,1980,Graduation,Widow,37745.0,0,1,2012-12-30,87,198,16,54,5,47,10,6,2,1,5,5,0,0,0,0,0,0,0,3,11
10144,1976,Graduation,Divorced,58914.0,1,0,2013-11-30,0,899,117,279,157,129,129,2,4,5,18,3,1,0,0,0,0,0,0,3,11
10145,1977,Graduation,Widow,66110.0,1,0,2012-09-02,17,491,291,228,89,44,176,1,3,2,11,5,0,0,0,0,0,0,0,3,11
10146,1982,Basic,Widow,113055.0,1,1,2014-05-05,25,359,58,227,34,98,41,1,4,4,9,3,0,0,0,0,0,0,0,3,11
10147,1972,PhD,Widow,44902.0,1,2,2012-03-27,38,18,6,42,31,6,7,4,1,0,0,5,1,0,0,0,1,0,0,3,11
10148,1976,Graduation,Together,80181.0,0,1,2013-01-12,52,449,202,100,5,199,5,1,5,6,7,2,0,1,0,1,0,0,0,3,11
10149,1971,2n Cycle,Widow,106548.0,0,0,2012-01-26,14,1313,50,512,21,159,481,0,7,18,12,3,0,0,0,1,1,0,0,3,11
10150,1955,Graduation,Married,69905.0,1,0,2012-12-20,53,155,29,200,67,78,14,4,5,3,2,6,0,0,0,0,0,1,0,3,11
10151,1962,Master,Widow,50060.0,0,1,2014-03-30,84,506,59,191,27,33,24,2,14,1,4,6,0,0,0,0,0,0,0,3,11
10152,1948,2n Cycle,Single,59672.0,0,0,2013-05-19,0,600,73,532,384,25,396,0,7,3,24,1,0,0,0,1,0,0,0,3,11
10153,1963,Master,Married,36593.0,1,1,2012-02-29,64,169,7,191,16,1,73,6,7,2,3,11,0,0,0,1,1,0,0,3,11
10154,1964,Graduation,Divorced,105864.0,0,0,2013-09-05,25,719,95,134,32,431,288,0,10,4,15,2,0,1,1,1,0,0,0,3,11
10155,1962,Basic,Widow,31300.0,1,2,2012-12-23,55,161,51,73,35,6,8,6,3,1,5,5,1,0,0,0,0,0,0,3,11
10156,1993,PhD,Widow,62747.0,1,0,2012-04-20,18,459,209,293,218,8,209,2,4,4,10,3,1,0,1,1,0,0,0,3,11
10157,1992,Graduation,Married,33090.0,0,1,2012-03-11,49,273,23,90,5,25,80,6,3,1,7,12,0,0,0,0,0,0,0,3,11
10158,1975,Master,Widow,51315.0,1,2,2013-01-30,57,69,4,31,26,5,12,3,1,0,3,4,0,0,0,0,0,1,0,3,11
10159,1983,Graduation,Widow,44145.0,1,2,2012-04-10,53,76,8,76,34,32,8,1,8,0,2,8,0,0,0,0,0,0,0,3,11
10160,1968,Graduation,Widow,102526.0,0,0,2013-08-08,43,860,233,346,76,584,524,0,22,8,9,5,0,0,0,1,0,0,0,3,11
10161,1952,Master,Single,58884.0,1,0,2013-08-05,27,506,23,391,34,145,17,4,3,7,10,1,0,1,0,0,0,0,0,3,11
10162,1970,PhD,Widow,64518.0,0,0,2014-03-03,7,490,65,424,105,135,41,3,14,4,4,5,0,0,0,1,1,1,0,3,11
10163,1976,PhD,Together,93627.0,0,0,2014-04-11,0,350,130,718,305,86,110,1,15,3,12,1,1,1,1,0,0,0,0,3,11
10164,1968,Master,Single,29981.0,0,1,2014-04-19,61,178,34,86,38,7,30,3,1,2,4,7,0,0,0,0,0,0,0,3,11
10165,1977,2n Cycle,Together,41976.0,0,1,2012-11-09,54,361,367,555,142,127,49,0,4,8,17,6,0,0,0,0,0,0,0,3,11
10166,1951,Graduation,Together,53585.0,0,0,2012-08-17,26,170,16,149,20,171,15,4,1,1,4,4,0,1,0,0,0,1,0,3,11
10167,1958,Graduation,Together,55481.0,0,0,2013-11-02,24,305,126,134,26,24,89,1,4,1,4,1,0,0,0,1,0,1,0,3,11
10168,1966,Graduation,Divorced,82784.0,0,0,2013-01-17,79,669,120,278,89,436,209,3,4,7,11,6,1,0,0,0,0,1,0,3,11
10169,1954,2n Cycle,Divorced,71201.0,0,0,2013-12-03,80,479,199,272,81,171,70,2,17,2,6,5,0,1,1,1,1,1,0,3,11
10170,1963,Graduation,Widow,88978.0,0,1,2014-01-14,67,112,257,456,116,56,528,2,5,12,10,2,0,0,0,0,0,0,0,3,11
10171,1978,Graduation,Divorced,31124.0,0,1,2013-07-30,65,187,8,32,6,20,32,6,4,0,5,3,0,0,0,0,0,0,0,3,11
10172,1972,2n Cycle,Married,60578.0,0,0,2013-02-28,53,248,15,720,14,3,127,4,2,2,14,8,0,0,1,1,1,0,0,3,11
10173,1954,Master,Single,57243.0,1,0,2014-02-20,45,231,140,125,64,123,83,2,5,2,7,2,0,1,0,1,0,1,0,3,11
10174,1969,Graduation,Divorced,149335.0,0,0,2013-04-02,0,651,205,365,88,155,354,1,8,11,9,2,1,0,0,0,0,1,0,3,11
10175,1961,Basic,Single,121005.0,0,0,2012-06-17,0,807,129,326,486,273,21,2,13,8,16,3,1,0,0,1,0,0,0,3,11
10176,1980,Graduation,Married,81310.0,0,1,2012-04-09,38,282,5,256,76,107,44,4,7,3,10,3,0,0,0,0,0,1,0,3,11
10177,1975,PhD,Together,48119.0,0,0,2012-03-08,72,134,104,359,124,73,221,6,5,7,8,5,0,0,1,0,0,0,0,3,11
10178,1978,Graduation,Single,43580.0,1,0,2012-04-04,48,171,43,170,1,7,9,7,6,1,3,5,0,0,0,0,0,0,0,3,11
10179,1961,PhD,Together,44495.0,0,1,2013-02-14,71,20,31,58,57,22,49,3,7,3,2,10,0,0,1,0,0,0,0,3,11
10180,1944,Graduation,Divorced,41725.0,0,0,2013-06-14,50,125,41,194,42,131,109,1,3,3,6,8,0,0,0,1,0,1,0,3,11
10181,1938,Master,Divorced,49578.0,0,0,2013-04-25,58,289,261,455,47,108,161,5,5,5,12,3,0,0,0,0,1,1,0,3,11
10182,1972,PhD,Together,37138.0,1,1,2012-11-24,74,108,17,63,10,4,37,5,0,2,4,8,0,1,0,0,0,0,0,3,11
10183,1988,Graduation,Divorced,89387.0,0,0,2012-11-30,67,230,77,407,33,13,132,0,2,7,4,4,0,0,0,0,0,0,0,3,11
10184,1975,2n Cycle,Single,35398.0,1,1,2013-04-15,64,110,29,72,2,6,8,5,1,1,5,7,1,0,0,1,0,0,0,3,11
10185,1971,Master,Married,23330.0,0,2,2014-04-09,99,225,61,72,5,23,138,9,1,2,5,14,0,0,0,1,0,1,0,3,11
10186,1986,Graduation,Widow,71900.0,0,1,2013-10-14,32,98,43,180,10,3,62,0,3,2,7,2,0,0,0,0,0,0,1,3,11
